Provinsi,Tahun,Produktivitas
Kepulauan Bangka Belitung,1975,0
Kepulauan Riau,1975,0
Daerah Khusus Ibukota Jakarta,1975,22.2
Jawa Barat,1975,28.58
Jawa Tengah,1975,29.49
Daerah Istimewa Yogyakarta,1975,28.31
Jawa Timur,1975,30.97
Banten,1975,0
Bali,1975,33.45
Nusa Tenggara Barat,1975,26.85
Nusa Tenggara Timur,1975,15.41
Kalimantan Barat,1975,13.7
Kalimantan Tengah,1975,13.44
Kalimantan Selatan,1975,18.29
Kalimantan Timur,1975,13.16
Kalimantan Utara,1975,0
Sulawesi Utara,1975,24.23
Sulawesi Tengah,1975,18.76
Sulawesi Selatan,1975,23.43
Sulawesi Tenggara,1975,12.76
Gorontalo,1975,0
Sulawesi Barat,1975,0
Maluku,1975,7.26
Maluku Utara,1975,0
Papua Barat,1975,0
Papua,1975,17.46
Aceh,1976,29.17
Sumatera Utara,1976,29.43
Sumatera Barat,1976,29.45
Riau,1976,17.34
Jambi,1976,23.68
Sumatera Selatan,1976,21.13
Bengkulu,1976,23.61
Lampung,1976,23.56
Kepulauan Bangka Belitung,1976,0
Kepulauan Riau,1976,0
Daerah Khusus Ibukota Jakarta,1976,23.4
Jawa Barat,1976,30.51
Jawa Tengah,1976,31.41
Daerah Istimewa Yogyakarta,1976,29.1
Jawa Timur,1976,33.19
Banten,1976,0
Bali,1976,34.03
Nusa Tenggara Barat,1976,28
Nusa Tenggara Timur,1976,16.58
Kalimantan Barat,1976,15.07
Kalimantan Tengah,1976,13.79
Kalimantan Selatan,1976,18.04
Kalimantan Timur,1976,13.49
Kalimantan Utara,1976,0
Sulawesi Utara,1976,23.4
Sulawesi Tengah,1976,19.32
Sulawesi Selatan,1976,27.34
Sulawesi Tenggara,1976,13.64
Gorontalo,1976,0
Sulawesi Barat,1976,0
Maluku,1976,7.31
Maluku Utara,1976,0
Papua Barat,1976,0
Papua,1976,17.89
Aceh,1977,29.36
Sumatera Utara,1977,27.39
Sumatera Barat,1977,31.53
Riau,1977,17.41
Jambi,1977,23.98
Sumatera Selatan,1977,22.34
Bengkulu,1977,24.31
Lampung,1977,24.15
Kepulauan Bangka Belitung,1977,0
Kepulauan Riau,1977,0
Daerah Khusus Ibukota Jakarta,1977,23.43
Jawa Barat,1977,29.87
Jawa Tengah,1977,30.86
Daerah Istimewa Yogyakarta,1977,28.62
Jawa Timur,1977,34.06
Banten,1977,0
Bali,1977,35.12
Nusa Tenggara Barat,1977,26.73
Nusa Tenggara Timur,1977,16.21
Kalimantan Barat,1977,16.83
Kalimantan Tengah,1977,14.12
Kalimantan Selatan,1977,19.81
Kalimantan Timur,1977,13.58
Kalimantan Utara,1977,0
Sulawesi Utara,1977,23.41
Sulawesi Tengah,1977,28.47
Sulawesi Selatan,1977,28.78
Sulawesi Tenggara,1977,14.02
Gorontalo,1977,0
Sulawesi Barat,1977,0
Maluku,1977,7.05
Maluku Utara,1977,0
Papua Barat,1977,0
Papua,1977,17.93
Aceh,1978,27.1
Sumatera Utara,1978,28.56
Sumatera Barat,1978,31.81
Riau,1978,18.13
Jambi,1978,24.65
Sumatera Selatan,1978,21.59
Bengkulu,1978,22.68
Lampung,1978,23.56
Kepulauan Bangka Belitung,1978,0
Kepulauan Riau,1978,0
Daerah Khusus Ibukota Jakarta,1978,24.28
Jawa Barat,1978,30.94
Jawa Tengah,1978,33.04
Daerah Istimewa Yogyakarta,1978,30.63
Jawa Timur,1978,35.55
Banten,1978,0
Bali,1978,34.4
Nusa Tenggara Barat,1978,28.42
Nusa Tenggara Timur,1978,14.53
Kalimantan Barat,1978,17.22
Kalimantan Tengah,1978,12.8
Kalimantan Selatan,1978,22.1
Kalimantan Timur,1978,14.7
Kalimantan Utara,1978,0
Sulawesi Utara,1978,25.02
Sulawesi Tengah,1978,16.88
Sulawesi Selatan,1978,28.25
Sulawesi Tenggara,1978,12.92
Gorontalo,1978,0
Sulawesi Barat,1978,0
Maluku,1978,7.07
Maluku Utara,1978,0
Papua Barat,1978,0
Papua,1978,13.87
Aceh,1979,27.96
Sumatera Utara,1979,28.65
Sumatera Barat,1979,33.27
Riau,1979,18.05
Jambi,1979,25.76
Sumatera Selatan,1979,23.82
Bengkulu,1979,21.76
Lampung,1979,24.59
Kepulauan Bangka Belitung,1979,0
Kepulauan Riau,1979,0
Daerah Khusus Ibukota Jakarta,1979,25.56
Jawa Barat,1979,32.47
Jawa Tengah,1979,32.03
Daerah Istimewa Yogyakarta,1979,35.37
Jawa Timur,1979,37.56
Banten,1979,0
Bali,1979,35.44
Nusa Tenggara Barat,1979,28.56
Nusa Tenggara Timur,1979,16.07
Kalimantan Barat,1979,18.5
Kalimantan Tengah,1979,15.69
Kalimantan Selatan,1979,23.12
Kalimantan Timur,1979,15.97
Kalimantan Utara,1979,0
Sulawesi Utara,1979,26.32
Sulawesi Tengah,1979,17.06
Sulawesi Selatan,1979,28.88
Sulawesi Tenggara,1979,16.15
Gorontalo,1979,0
Sulawesi Barat,1979,0
Maluku,1979,7.97
Maluku Utara,1979,0
Papua Barat,1979,0
Papua,1979,15.94
Aceh,1980,30.26
Sumatera Utara,1980,28.36
Sumatera Barat,1980,35.24
Riau,1980,19.9
Jambi,1980,25.82
Sumatera Selatan,1980,24.84
Bengkulu,1980,24.53
Lampung,1980,25.17
Kepulauan Bangka Belitung,1980,0
Kepulauan Riau,1980,0
Daerah Khusus Ibukota Jakarta,1980,29.57
Jawa Barat,1980,35.47
Jawa Tengah,1980,36.68
Daerah Istimewa Yogyakarta,1980,36.59
Jawa Timur,1980,42.78
Banten,1980,0
Bali,1980,40.01
Nusa Tenggara Barat,1980,30.46
Nusa Tenggara Timur,1980,16.36
Kalimantan Barat,1980,18
Kalimantan Tengah,1980,16.88
Kalimantan Selatan,1980,24.69
Kalimantan Timur,1980,17.06
Kalimantan Utara,1980,0
Sulawesi Utara,1980,30.31
Sulawesi Tengah,1980,19.29
Sulawesi Selatan,1980,30.29
